Year, Week, Age Group,A (H1),A (Unable to Subtype),A (H3),A (H1N1)pdm09,A (Subtyping not Performed),B (Victoria Lineage),B (Yamagata Lineage),B (Lineage Unspecified),H3N2v
2018,21,0-4 yr,0,0,1,9,0,0,2,1,0
2018,22,0-4 yr,0,0,0,2,0,0,1,0,0
2018,23,0-4 yr,0,0,0,1,0,1,0,0,0
2018,24,0-4 yr,0,0,0,0,0,0,1,0,0
2018,25,0-4 yr,0,0,0,0,0,0,1,0,0
2018,26,0-4 yr,0,0,0,0,0,0,0,0,0
2018,27,0-4 yr,0,0,0,3,0,0,1,0,0
2018,28,0-4 yr,0,0,0,3,0,0,0,0,0
2018,29,0-4 yr,0,0,1,0,0,0,1,1,0
2018,30,0-4 yr,0,0,0,3,0,0,0,0,0
2018,31,0-4 yr,0,0,0,1,0,0,0,0,0
2018,32,0-4 yr,0,0,0,0,2,0,0,0,0
2018,33,0-4 yr,0,0,0,0,0,0,0,0,0
2018,34,0-4 yr,0,0,1,2,0,0,0,0,0
2018,35,0-4 yr,0,0,0,3,0,0,0,0,0
2018,36,0-4 yr,0,0,0,2,0,0,0,1,0
2018,37,0-4 yr,0,0,1,6,0,0,0,0,0
2018,38,0-4 yr,0,0,3,0,0,0,0,0,0
2018,39,0-4 yr,0,0,0,1,0,0,0,0,0
2017,40,5-24 yr,0,0,21,3,1,0,3,0,0
2017,41,5-24 yr,0,0,22,3,2,1,0,0,0
2017,42,5-24 yr,0,0,40,4,0,0,2,0,0
2017,43,5-24 yr,0,0,34,12,6,0,6,3,0
2017,44,5-24 yr,0,0,63,10,2,2,10,7,0
2017,45,5-24 yr,0,0,85,6,0,1,8,5,0
2017,46,5-24 yr,0,0,94,27,1,3,24,11,0
2017,47,5-24 yr,0,0,97,8,0,1,20,2,0
2017,48,5-24 yr,0,0,163,13,0,6,24,3,1
2017,49,5-24 yr,0,0,276,19,0,9,34,12,0
2017,50,5-24 yr,0,0,353,45,2,20,66,18,0
2017,51,5-24 yr,0,0,448,46,2,23,70,10,0
2017,52,5-24 yr,0,0,328,56,3,11,65,15,0
2018,1,5-24 yr,0,0,319,42,0,14,54,10,0
2018,2,5-24 yr,0,0,477,76,5,18,120,34,0
2018,3,5-24 yr,0,0,477,82,3,20,108,47,0
2018,4,5-24 yr,0,0,578,150,5,27,214,67,0
2018,5,5-24 yr,0,0,586,168,7,42,267,139,0
2018,6,5-24 yr,0,0,472,159,1,50,307,127,0
2018,7,5-24 yr,0,0,366,122,0,64,283,88,0
2018,8,5-24 yr,0,0,221,53,3,54,221,73,0
2018,9,5-24 yr,0,0,108,57,0,53,144,63,0
2018,10,5-24 yr,0,0,70,32,3,47,127,45,0
2018,11,5-24 yr,0,0,52,43,6,33,98,39,0
2018,12,5-24 yr,0,0,53,23,0,27,103,27,0
2018,13,5-24 yr,0,0,57,26,2,29,88,25,0
2018,14,5-24 yr,0,0,37,31,0,26,57,14,0
2018,15,5-24 yr,0,0,24,28,0,21,38,16,0
2018,16,5-24 yr,0,0,19,15,0,21,36,9,0
2018,17,5-24 yr,0,0,9,16,0,15,22,19,0
2018,18,5-24 yr,0,0,6,7,1,4,34,8,0
2018,19,5-24 yr,0,0,5,4,0,1,11,2,0
2018,20,5-24 yr,0,0,3,4,0,2,6,5,0
2018,21,5-24 yr,0,0,0,5,0,2,5,2,0
2018,22,5-24 yr,0,0,1,0,0,1,2,0,0
2018,23,5-24 yr,0,0,1,1,0,0,2,0,0
2018,24,5-24 yr,0,0,1,2,0,1,3,0,0
2018,25,5-24 yr,0,0,1,1,0,1,1,0,1
2018,26,5-24 yr,0,0,3,1,0,0,0,0,0
2018,27,5-24 yr,0,0,0,0,0,0,3,1,0
2018,28,5-24 yr,0,0,1,0,0,1,0,0,0
2018,29,5-24 yr,0,0,0,7,0,1,0,1,0
2018,30,5-24 yr,0,0,1,3,1,2,0,0,0
2018,31,5-24 yr,0,0,3,3,2,0,0,0,0
2018,32,5-24 yr,0,0,0,2,3,0,0,0,0
2018,33,5-24 yr,0,0,1,0,1,0,1,0,0
2018,34,5-24 yr,0,0,5,5,1,0,0,0,0
2018,35,5-24 yr,0,0,1,0,0,0,0,0,0
2018,36,5-24 yr,0,0,1,5,0,0,1,0,0
2018,37,5-24 yr,0,0,2,8,0,0,2,0,0
2018,38,5-24 yr,0,0,0,4,0,1,0,0,0
2018,39,5-24 yr,0,0,0,6,0,0,2,0,0
2017,40,25-64 yr,0,0,40,6,1,0,7,1,1
2017,41,25-64 yr,0,0,54,5,2,1,9,0,0
2017,42,25-64 yr,0,0,49,3,0,0,3,0,0
2017,43,25-64 yr,0,0,48,5,8,0,7,2,0
2017,44,25-64 yr,0,0,66,2,5,0,8,1,0
2017,45,25-64 yr,0,0,77,10,1,2,14,1,0
2017,46,25-64 yr,0,0,122,10,1,1,20,2,0
2017,47,25-64 yr,0,0,166,17,0,3,14,3,0
2017,48,25-64 yr,0,0,226,21,5,1,29,6,0
2017,49,25-64 yr,0,0,292,27,0,0,33,9,0
2017,50,25-64 yr,0,0,419,46,6,6,57,8,0
2017,51,25-64 yr,0,0,713,117,8,9,84,22,0
2017,52,25-64 yr,0,0,784,121,5,7,117,15,0
2018,1,25-64 yr,0,0,896,141,10,9,159,31,0
2018,2,25-64 yr,0,0,852,162,12,8,174,49,0
2018,3,25-64 yr,0,0,730,157,10,11,187,39,0
2018,4,25-64 yr,0,0,779,207,6,13,209,50,0
2018,5,25-64 yr,0,0,705,186,9,12,222,70,0
2018,6,25-64 yr,0,0,594,202,7,17,270,95,0
2018,7,25-64 yr,0,0,413,185,5,20,281,86,0
2018,8,25-64 yr,0,0,273,115,3,26,290,78,0
